datetime,CLOSE,ATM,PCR_VOL,PCR_OI,PCR_COI,RSI,ZSCORE,SIGNAL,SUP,RES
2026-01-05 09:15:00+05:30,60327.5,60300,9.13,9.44,3.94,75.68,3.21,,60000,60000
2026-01-05 09:20:00+05:30,60301.75,60300,8.98,9.44,3.94,71.63,2.28,,60000,60000
2026-01-05 09:25:00+05:30,60219.75,60300,9.97,9.54,-1.54,59.88,1.43,,60000,60000
2026-01-05 09:30:00+05:30,60219.3,60300,9.95,9.81,-4.65,59.78,1.28,,60000,60000
2026-01-05 09:35:00+05:30,60136.85,60300,10.8,9.73,99.46,52.31,0.31,,60000,60000
2026-01-05 09:40:00+05:30,60262.25,60300,10.69,9.65,36.77,61.24,1.58,,60000,60000
2026-01-05 09:45:00+05:30,60239.15,60300,10.66,9.67,-10.93,59.91,1.25,,60000,60000
2026-01-05 09:50:00+05:30,60251.1,60300,10.58,9.72,-39.86,60.62,1.23,,60000,60000
2026-01-05 09:55:00+05:30,60276.0,60300,10.49,9.8,-3.46,61.77,1.36,,60000,60000
2026-01-05 10:00:00+05:30,60273.9,60300,10.68,9.85,-0.9,60.78,1.19,,60000,60000
2026-01-05 10:05:00+05:30,60257.65,60300,10.99,10.02,-2.68,59.09,0.96,,60000,60000
2026-01-05 10:20:00+05:30,60323.75,60300,10.29,10.82,13.82,62.0,1.17,,60000,60000
2026-01-05 10:25:00+05:30,60337.85,60300,10.29,10.82,15.67,62.61,1.2,,60000,60000
