datetime,CLOSE,ATM,PCR_VOL,PCR_OI,PCR_COI,RSI,ZSCORE,SIGNAL,SUP,RES
2026-01-06 09:15:00+05:30,27919.05,27900,16.3,17.64,0.41,61.04,2.44,,28000,28000
2026-01-06 09:20:00+05:30,27939.85,27900,24.25,17.64,0.41,63.92,2.37,,28000,28000
2026-01-06 09:25:00+05:30,27934.0,27900,13.32,16.3,1.38,62.56,1.93,,28000,28000
2026-01-06 09:30:00+05:30,27942.8,27900,17.03,16.46,16.59,63.53,1.77,,28000,28000
2026-01-06 09:35:00+05:30,27995.65,27900,19.18,16.84,9.57,70.43,2.12,,28000,28000
2026-01-06 09:40:00+05:30,27972.3,27900,21.92,16.01,22.7,65.28,1.65,,28000,28000
2026-01-06 09:45:00+05:30,27996.05,27900,23.72,17.38,-3.17,67.87,1.75,,28000,28000
2026-01-06 09:50:00+05:30,28014.35,27900,29.13,17.89,1.04,69.69,1.75,,28000,28000
2026-01-06 09:55:00+05:30,27998.3,27900,42.25,24.48,-46.76,66.54,1.41,,28000,28000
2026-01-06 10:00:00+05:30,28020.8,27900,46.09,30.47,-43.21,68.86,1.54,,28000,28000
2026-01-06 10:05:00+05:30,28004.25,27900,46.19,30.85,-22.12,65.93,1.19,,28000,28000
2026-01-06 10:10:00+05:30,28016.05,27900,46.5,31.6,-7.88,67.76,1.23,,28000,28000
2026-01-06 10:15:00+05:30,28031.25,27900,47.21,32.12,-4.34,69.4,1.29,,28000,28000
2026-01-06 10:20:00+05:30,28010.6,27900,48.65,32.74,-14.87,65.37,0.93,,28000,28000
2026-01-06 10:25:00+05:30,28007.95,27900,51.82,32.23,-25.34,64.68,0.81,,28000,28000
2026-01-06 10:30:00+05:30,28019.15,27900,53.42,32.24,-21.52,65.2,0.87,,28000,28000
2026-01-06 10:35:00+05:30,28033.7,27900,53.68,32.0,-20.86,67.44,0.99,,28000,28000
2026-01-06 10:40:00+05:30,27993.0,27900,54.38,32.27,-19.21,58.75,0.27,,28000,28000
2026-01-06 10:45:00+05:30,27996.8,27900,54.61,32.55,-21.4,59.33,0.24,,28000,28000
2026-01-06 10:50:00+05:30,28003.05,27900,52.0,32.98,-19.54,60.37,0.31,,28000,28000
2026-01-06 10:55:00+05:30,28011.5,27900,51.78,34.6,-22.9,61.56,0.52,,28000,28000
2026-01-06 11:00:00+05:30,27988.85,27900,51.78,34.48,-23.59,56.85,-0.54,,28000,28000
2026-01-06 11:05:00+05:30,27990.65,27900,53.22,34.33,-33.47,56.92,-0.63,,28000,28000
2026-01-06 11:10:00+05:30,27982.0,27900,53.79,34.3,-36.1,54.95,-1.12,,28000,28000
2026-01-06 11:15:00+05:30,27970.2,27900,53.88,34.01,-29.09,52.67,-1.82,,28000,28000
2026-01-06 11:20:00+05:30,27919.9,27900,57.73,30.69,-29.27,44.42,-2.7,,28000,28000
2026-01-06 11:25:00+05:30,27917.85,27900,58.78,29.14,-30.63,44.1,-2.25,,28000,28000
2026-01-06 11:30:00+05:30,27962.2,27900,57.76,28.15,-36.18,51.5,-0.99,,28000,28000
2026-01-06 11:35:00+05:30,27950.1,27900,58.02,28.07,-35.93,49.54,-1.22,,28000,28000
